"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","01-Jan-2004","        645.55","        645.90","        653.85","        640.00","        648.85","        647.90","        647.09","     129518","            83809710.30","-","      68316","         52.75"
"HDFC","EQ","02-Jan-2004","        647.90","        660.90","        660.90","        641.00","        653.00","        652.10","        646.33","     181884","           117557569.25","-","     107005","         58.83"
"HDFC","EQ","05-Jan-2004","        652.10","        653.00","        665.00","        640.00","        654.00","        660.40","        651.45","     287050","           186997975.05","-","     191343","         66.66"
"HDFC","EQ","06-Jan-2004","        660.40","        660.50","        674.95","        651.00","        658.40","        654.30","        661.75","     190038","           125757994.10","-","     100940","         53.12"
"HDFC","EQ","07-Jan-2004","        654.30","        650.00","        650.00","        632.20","        636.00","        636.95","        638.31","     176038","           112367251.80","-","     116867","         66.39"
"HDFC","EQ","08-Jan-2004","        636.95","        640.00","        648.00","        635.00","        648.00","        641.20","        640.03","     313273","           200502552.60","-","     263339","         84.06"
"HDFC","EQ","09-Jan-2004","        641.20","        651.00","        660.00","        621.25","        648.80","        644.90","        636.96","     661450","           421317931.20","-","     487208","         73.66"
"HDFC","EQ","12-Jan-2004","        644.90","        656.00","        656.60","        625.05","        632.00","        630.75","        639.14","     192712","           123169689.65","-","     109147","         56.64"
"HDFC","EQ","13-Jan-2004","        630.75","        635.00","        648.00","        625.00","        643.20","        645.15","        637.30","     125208","            79794907.65","-","      68584","         54.78"
"HDFC","EQ","14-Jan-2004","        645.15","        643.00","        649.80","        635.00","        644.00","        646.45","        640.50","     365109","           233851754.85","-","     304801","         83.48"
"HDFC","EQ","15-Jan-2004","        646.45","        649.00","        649.80","        636.15","        640.95","        644.60","        641.65","     556915","           357345433.50","-","     418604","         75.16"
"HDFC","EQ","16-Jan-2004","        644.60","        641.00","        646.00","        625.30","        641.00","        644.25","        640.32","     355062","           227353502.50","-","     255535","         71.97"
"HDFC","EQ","19-Jan-2004","        644.25","        635.00","        675.45","        632.00","        673.00","        670.15","        658.86","     306654","           202040541.20","-","     180762","         58.95"
"HDFC","EQ","20-Jan-2004","        670.15","        668.00","        682.00","        641.10","        646.35","        656.45","        670.94","     510343","           342411792.35","-","     352295","         69.03"
"HDFC","EQ","21-Jan-2004","        656.45","        658.00","        658.00","        605.25","        625.50","        626.25","        627.74","     379656","           238325072.05","-","     186468","         49.11"
"HDFC","EQ","22-Jan-2004","        626.25","        645.00","        648.00","        606.00","        631.00","        622.65","        627.30","     324447","           203525626.65","-","     198562","         61.20"
"HDFC","EQ","23-Jan-2004","        622.65","        642.00","        648.00","        620.10","        632.00","        629.65","        630.14","     146564","            92356415.50","-","      75963","         51.83"
"HDFC","EQ","27-Jan-2004","        629.65","        632.00","        639.90","        610.60","        629.00","        619.65","        620.45","     427877","           265474533.20","-","     311454","         72.79"
"HDFC","EQ","28-Jan-2004","        619.65","        625.00","        672.00","        625.00","        655.05","        655.35","        654.80","     529057","           346426780.95","-","     369154","         69.78"
"HDFC","EQ","29-Jan-2004","        655.35","        602.15","        664.95","        565.00","        654.00","        649.45","        654.58","     664649","           435066211.85","-","     530070","         79.75"
"HDFC","EQ","30-Jan-2004","        649.45","        655.00","        659.90","        633.00","        658.00","        649.30","        648.39","     196453","           127377383.00","-","     117231","         59.67"
"HDFC","EQ","03-Feb-2004","        649.30","        645.00","        660.85","        638.25","        644.00","        648.95","        650.78","     414056","           269460208.75","-","     269057","         64.98"
"HDFC","EQ","04-Feb-2004","        648.95","        648.00","        662.00","        633.25","        649.25","        649.80","        650.74","     252273","           164163101.70","-","     148587","         58.90"
"HDFC","EQ","05-Feb-2004","        649.80","        643.20","        660.05","        640.15","        650.00","        646.90","        650.67","     240514","           156495517.30","-","     175350","         72.91"
"HDFC","EQ","06-Feb-2004","        646.90","        653.40","        655.00","        645.00","        645.00","        647.90","        649.93","     172224","           111933670.65","-","     105109","         61.03"
