"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","01-Jan-2008","       2371.15","       2380.00","       2395.00","       2356.20","       2386.00","       2383.50","       2377.02","     424788","          1009729145.95","-","     172480","         40.60"
"SBIN","EQ","02-Jan-2008","       2383.50","       2372.00","       2454.00","       2342.00","       2426.40","       2423.35","       2410.91","    1015613","          2448548046.15","-","     368750","         36.31"
"SBIN","EQ","03-Jan-2008","       2423.35","       2420.00","       2437.30","       2383.65","       2392.00","       2395.25","       2408.52","     565525","          1362078781.00","-","     183129","         32.38"
"SBIN","EQ","04-Jan-2008","       2395.25","       2574.00","       2574.00","       2377.00","       2380.00","       2388.80","       2401.40","     489276","          1174947158.65","-","     223427","         45.66"
"SBIN","EQ","07-Jan-2008","       2388.80","       2398.70","       2428.00","       2361.00","       2398.15","       2402.90","       2403.75","     623870","          1499629063.05","-","     222407","         35.65"
"SBIN","EQ","08-Jan-2008","       2402.90","       2419.70","       2502.00","       2415.30","       2464.90","       2464.55","       2462.51","    1460965","          3597634825.35","-","     469059","         32.11"
"SBIN","EQ","09-Jan-2008","       2464.55","       2450.00","       2507.00","       2441.15","       2453.20","       2454.50","       2482.77","     995044","          2470467858.00","-","     317813","         31.94"
"SBIN","EQ","10-Jan-2008","       2454.50","       2482.20","       2505.00","       2378.00","       2410.00","       2409.60","       2471.47","     885305","          2188000606.35","-","     363935","         41.11"
"SBIN","EQ","11-Jan-2008","       2409.60","       2444.70","       2455.00","       2379.00","       2453.10","       2434.80","       2420.36","     644596","          1560156368.80","-","     193138","         29.96"
"SBIN","EQ","14-Jan-2008","       2434.80","       2478.70","       2536.35","       2441.00","       2452.15","       2463.10","       2484.98","    1363641","          3388625877.50","-","     348113","         25.53"
"SBIN","EQ","15-Jan-2008","       2463.10","       2497.70","       2497.70","       2407.10","       2408.15","       2423.45","       2446.78","     951583","          2328318593.05","-","     425067","         44.67"
"SBIN","EQ","16-Jan-2008","       2423.45","       2425.00","       2433.00","       2346.00","       2430.20","       2415.55","       2388.52","    1671434","          3992246528.45","-","     830740","         49.70"
"SBIN","EQ","17-Jan-2008","       2415.55","       2443.00","       2458.00","       2375.00","       2412.15","       2416.35","       2418.34","     984969","          2381987792.10","-","     350469","         35.58"
"SBIN","EQ","18-Jan-2008","       2416.35","       2390.00","       2427.00","       2325.25","       2370.00","       2362.35","       2393.34","     921142","          2204603330.05","-","     453955","         49.28"
"SBIN","EQ","21-Jan-2008","       2362.35","       2357.00","       2379.70","       2031.35","       2200.00","       2196.15","       2284.64","    1912417","          4369188487.45","-","    1152938","         60.29"
"SBIN","EQ","22-Jan-2008","       2196.15","       1910.00","       2280.00","       1830.00","       2127.00","       2137.40","       2109.05","    1541637","          3251386371.85","-","     999175","         64.81"
"SBIN","EQ","23-Jan-2008","       2137.40","       2269.40","       2362.00","       2175.00","       2350.00","       2323.75","       2290.62","    1164321","          2667022394.75","-","     631437","         54.23"
"SBIN","EQ","24-Jan-2008","       2323.75","       2360.50","       2399.70","       2300.00","       2342.00","       2343.15","       2337.89","    1388980","          3247281401.10","-","     622188","         44.79"
"SBIN","EQ","25-Jan-2008","       2343.15","       2440.00","       2458.80","       2360.00","       2405.00","       2407.40","       2414.97","    1324427","          3198453525.00","-","     507075","         38.29"
"SBIN","EQ","28-Jan-2008","       2407.40","       2299.00","       2339.00","       2200.00","       2309.00","       2313.35","       2261.17","     911416","          2060862463.40","-","-","-"
