"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNPHARMA","EQ","04-Jan-2010","       1508.80","       1538.00","       1538.00","       1501.10","       1508.55","       1507.35","       1511.91","      83117","           125665311.50","-","      31334","         37.70"
"SUNPHARMA","EQ","05-Jan-2010","       1507.35","       1522.00","       1558.80","       1513.05","       1555.00","       1552.65","       1531.06","     123199","           188624605.80","-","      66181","         53.72"
"SUNPHARMA","EQ","06-Jan-2010","       1552.65","       1555.05","       1581.50","       1532.10","       1570.00","       1572.80","       1564.88","     188249","           294586839.20","-","      88243","         46.88"
"SUNPHARMA","EQ","07-Jan-2010","       1572.80","       1578.95","       1578.95","       1533.35","       1540.00","       1548.85","       1557.30","      92310","           143754460.35","-","      47152","         51.08"
"SUNPHARMA","EQ","08-Jan-2010","       1548.85","       1555.80","       1605.00","       1550.05","       1569.20","       1574.95","       1580.61","     329808","           521299132.45","-","     199675","         60.54"
"SUNPHARMA","EQ","11-Jan-2010","       1574.95","       1585.70","       1594.40","       1564.85","       1575.50","       1574.70","       1574.19","     103297","           162609593.80","-","      59965","         58.05"
"SUNPHARMA","EQ","12-Jan-2010","       1574.70","       1574.70","       1589.80","       1548.00","       1577.70","       1571.80","       1566.87","     153408","           240369965.50","-","      85602","         55.80"
"SUNPHARMA","EQ","13-Jan-2010","       1571.80","       1555.00","       1573.65","       1528.35","       1550.00","       1547.80","       1546.32","      93488","           144561936.30","-","      35306","         37.77"
"SUNPHARMA","EQ","14-Jan-2010","       1547.80","       1570.00","       1581.00","       1550.25","       1557.00","       1559.50","       1562.41","     152030","           237533188.75","-","      90966","         59.83"
"SUNPHARMA","EQ","15-Jan-2010","       1559.50","       1555.00","       1567.50","       1520.00","       1524.00","       1525.10","       1532.75","     116556","           178651045.70","-","      80548","         69.11"
"SUNPHARMA","EQ","18-Jan-2010","       1525.10","       1525.00","       1547.85","       1510.00","       1515.00","       1516.45","       1531.49","     156122","           239098730.60","-","      89692","         57.45"
"SUNPHARMA","EQ","19-Jan-2010","       1516.45","       1527.00","       1527.00","       1473.10","       1480.15","       1485.90","       1498.69","      85262","           127780897.80","-","      33398","         39.17"
"SUNPHARMA","EQ","20-Jan-2010","       1485.90","       1480.05","       1493.80","       1465.80","       1477.00","       1473.35","       1475.16","     159656","           235517401.80","-","     104560","         65.49"
"SUNPHARMA","EQ","21-Jan-2010","       1473.35","       1473.00","       1493.80","       1455.00","       1455.00","       1464.85","       1481.64","     141740","           210008340.65","-","     100107","         70.63"
"SUNPHARMA","EQ","22-Jan-2010","       1464.85","       1450.00","       1450.00","       1400.00","       1430.00","       1432.00","       1428.08","     342349","           488900103.00","-","     248911","         72.71"
"SUNPHARMA","EQ","25-Jan-2010","       1432.00","       1444.50","       1456.00","       1400.00","       1440.00","       1444.50","       1439.51","     219632","           316162389.95","-","     168897","         76.90"
"SUNPHARMA","EQ","27-Jan-2010","       1444.50","       1436.00","       1444.85","       1402.90","       1420.00","       1421.00","       1421.17","     276758","           393320652.60","-","     193604","         69.95"
"SUNPHARMA","EQ","28-Jan-2010","       1421.00","       1425.00","       1489.95","       1410.10","       1432.35","       1446.20","       1450.07","     339969","           492977998.55","-","     184002","         54.12"
"SUNPHARMA","EQ","29-Jan-2010","       1446.20","       1420.00","       1525.00","       1420.00","       1490.00","       1473.05","       1449.23","     331405","           480282698.85","-","     221054","         66.70"
"SUNPHARMA","EQ","01-Feb-2010","       1473.05","       1446.25","       1524.90","       1433.60","       1500.00","       1506.50","       1495.62","     268844","           402089015.50","-","     181692","         67.58"
"SUNPHARMA","EQ","02-Feb-2010","       1506.50","       1518.00","       1538.05","       1485.10","       1505.05","       1513.60","       1516.72","     293951","           445840340.60","-","     144813","         49.26"
"SUNPHARMA","EQ","03-Feb-2010","       1513.60","       1516.00","       1535.00","       1497.10","       1500.00","       1501.45","       1518.49","     122459","           185952745.50","-","      57123","         46.65"
"SUNPHARMA","EQ","04-Feb-2010","       1501.45","       1512.00","       1515.00","       1470.00","       1494.00","       1499.15","       1499.53","     537830","           806492296.85","-","     438117","         81.46"
"SUNPHARMA","EQ","05-Feb-2010","       1499.15","       1490.00","       1499.70","       1456.00","       1460.00","       1473.90","       1483.45","     362552","           537828697.65","-","     279513","         77.10"
"SUNPHARMA","EQ","06-Feb-2010","       1473.90","       1483.70","       1488.50","       1455.10","       1483.30","       1483.30","       1482.00","       8693","            12883058.60","-","       2244","         25.81"
"SUNPHARMA","EQ","08-Feb-2010","       1483.30","       1498.00","       1523.00","       1471.10","       1510.00","       1511.75","       1495.84","     183397","           274332645.40","-","     100718","         54.92"
"SUNPHARMA","EQ","09-Feb-2010","       1511.75","       1518.00","       1551.00","       1495.00","       1541.00","       1542.35","       1532.50","     162663","           249280458.25","-","      96641","         59.41"
"SUNPHARMA","EQ","10-Feb-2010","       1542.35","       1535.00","       1535.95","       1503.00","       1511.00","       1509.55","       1518.56","     139032","           211128841.35","-","      77461","         55.71"
"SUNPHARMA","EQ","11-Feb-2010","       1509.55","       1519.00","       1534.50","       1510.00","       1524.80","       1520.35","       1520.00","      84135","           127885167.40","-","      54555","         64.84"
"SUNPHARMA","EQ","15-Feb-2010","       1520.35","       1518.85","       1539.95","       1506.00","       1527.00","       1528.10","       1528.61","      79053","           120841251.80","-","      40711","         51.50"
