"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFOSYSTCH","EQ","03-Jan-2011","       3442.75","       3444.00","       3469.70","       3427.70","       3462.45","       3458.35","       3448.24","     631068","          2176073811.05","-","     405296","         64.22"
"INFOSYSTCH","EQ","04-Jan-2011","       3458.35","       3457.00","       3499.00","       3457.00","       3470.00","       3481.45","       3481.24","    1014911","          3533147369.05","-","     653567","         64.40"
"INFOSYSTCH","EQ","05-Jan-2011","       3481.45","       3465.00","       3477.00","       3445.10","       3463.50","       3459.60","       3460.24","     440395","          1523871798.85","-","     249899","         56.74"
"INFOSYSTCH","EQ","06-Jan-2011","       3459.60","       3480.00","       3493.00","       3444.10","       3476.95","       3478.15","       3474.28","     586480","          2037594772.50","-","     298773","         50.94"
"INFOSYSTCH","EQ","07-Jan-2011","       3478.15","       3463.35","       3495.00","       3356.35","       3371.10","       3370.75","       3420.32","    1068866","          3655864295.05","-","     695120","         65.03"
"INFOSYSTCH","EQ","10-Jan-2011","       3370.75","       3375.00","       3443.15","       3352.00","       3387.50","       3395.75","       3400.00","    1298801","          4415918899.75","-","     583939","         44.96"
"INFOSYSTCH","EQ","11-Jan-2011","       3395.75","       3340.00","       3423.40","       3288.10","       3342.70","       3325.70","       3344.10","    1539927","          5149673664.65","-","     737189","         47.87"
"INFOSYSTCH","EQ","12-Jan-2011","       3325.70","       3350.00","       3390.00","       3318.20","       3368.05","       3377.30","       3361.89","    1254425","          4217241518.70","-","     688702","         54.90"
"INFOSYSTCH","EQ","13-Jan-2011","       3377.30","       3293.00","       3299.00","       3195.00","       3203.20","       3205.20","       3238.50","    2794109","          9048717183.15","-","    1220013","         43.66"
"INFOSYSTCH","EQ","14-Jan-2011","       3205.20","       3186.15","       3277.90","       3185.00","       3200.60","       3204.30","       3233.11","    1290205","          4171370927.55","-","     537154","         41.63"
"INFOSYSTCH","EQ","17-Jan-2011","       3204.30","       3200.00","       3281.70","       3191.25","       3276.00","       3268.80","       3247.73","    1027327","          3336482984.90","-","     606387","         59.03"
"INFOSYSTCH","EQ","18-Jan-2011","       3268.80","       3250.00","       3335.70","       3250.00","       3323.95","       3323.00","       3303.85","    1224646","          4046052639.60","-","     685454","         55.97"
"INFOSYSTCH","EQ","19-Jan-2011","       3323.00","       3307.15","       3314.00","       3235.80","       3246.00","       3249.60","       3264.30","     866886","          2829775194.80","-","     471561","         54.40"
"INFOSYSTCH","EQ","20-Jan-2011","       3249.60","       3232.00","       3307.40","       3218.10","       3295.00","       3295.90","       3269.17","     903981","          2955266893.30","-","     526310","         58.22"
"INFOSYSTCH","EQ","21-Jan-2011","       3295.90","       3271.00","       3278.00","       3231.00","       3243.20","       3243.85","       3249.89","     578353","          1879585459.65","-","     321931","         55.66"
"INFOSYSTCH","EQ","24-Jan-2011","       3243.85","       3240.00","       3290.00","       3227.30","       3288.00","       3284.65","       3274.80","     937670","          3070684521.00","-","     611243","         65.19"
"INFOSYSTCH","EQ","25-Jan-2011","       3284.65","       3265.00","       3304.85","       3236.05","       3236.35","       3259.65","       3275.48","    1240739","          4064017554.85","-","     799293","         64.42"
"INFOSYSTCH","EQ","27-Jan-2011","       3259.65","       3269.00","       3269.00","       3185.50","       3195.70","       3196.90","       3204.48","    1588831","          5091371824.10","-","    1048658","         66.00"
"INFOSYSTCH","EQ","28-Jan-2011","       3196.90","       3205.80","       3268.55","       3140.65","       3179.00","       3168.15","       3208.28","    1585537","          5086852160.30","-","     807349","         50.92"
"INFOSYSTCH","EQ","31-Jan-2011","       3168.15","       3138.50","       3138.50","       3086.20","       3110.00","       3117.70","       3113.41","     968671","          3015865916.20","-","     556604","         57.46"
"INFOSYSTCH","EQ","01-Feb-2011","       3117.70","       3126.30","       3128.40","       3043.10","       3079.00","       3089.20","       3076.31","    1287711","          3961393378.45","-","     742803","         57.68"
"INFOSYSTCH","EQ","02-Feb-2011","       3089.20","       3113.00","       3164.00","       3065.00","       3095.00","       3089.25","       3122.11","    1146841","          3580558682.50","-","     591704","         51.59"
"INFOSYSTCH","EQ","03-Feb-2011","       3089.25","       3101.40","       3153.00","       3086.20","       3119.95","       3117.60","       3119.82","     756176","          2359135903.85","-","     356531","         47.15"
