"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","01-Jan-2015","       3246.20","       3230.00","       3235.00","       3204.00","       3210.00","       3210.50","       3216.89","      75642","           243331916.90","       4935","      22132","         29.26"
"DRREDDY","EQ","02-Jan-2015","       3210.50","       3220.00","       3242.65","       3215.00","       3224.90","       3221.40","       3227.06","      86014","           277571939.85","       4661","      35009","         40.70"
"DRREDDY","EQ","05-Jan-2015","       3221.40","       3221.40","       3221.40","       3141.00","       3146.00","       3148.40","       3165.42","     293765","           929890990.15","      27851","     180060","         61.29"
"DRREDDY","EQ","06-Jan-2015","       3148.40","       3130.00","       3130.00","       3055.00","       3055.00","       3065.55","       3082.25","     391335","          1206194165.10","      19849","     283756","         72.51"
"DRREDDY","EQ","07-Jan-2015","       3065.55","       3075.10","       3078.05","       3010.00","       3040.50","       3039.20","       3032.24","     319437","           968611005.95","      29741","     191418","         59.92"
"DRREDDY","EQ","08-Jan-2015","       3039.20","       3060.00","       3094.05","       3041.00","       3064.00","       3066.30","       3065.31","     278836","           854717488.25","      15157","     192150","         68.91"
"DRREDDY","EQ","09-Jan-2015","       3066.30","       3095.00","       3170.00","       3091.20","       3159.00","       3163.80","       3136.40","     593638","          1861884182.95","      29466","     429282","         72.31"
"DRREDDY","EQ","12-Jan-2015","       3163.80","       3153.00","       3214.00","       3126.65","       3210.00","       3207.25","       3188.22","     334222","          1065572009.85","      25481","     199064","         59.56"
"DRREDDY","EQ","13-Jan-2015","       3207.25","       3210.00","       3238.00","       3190.00","       3223.00","       3223.35","       3222.09","     490674","          1580994096.05","      33074","     414809","         84.54"
"DRREDDY","EQ","14-Jan-2015","       3223.35","       3205.00","       3223.20","       3191.00","       3220.00","       3208.25","       3210.28","     331309","          1063595455.75","      37268","     256882","         77.54"
"DRREDDY","EQ","15-Jan-2015","       3208.25","       3226.60","       3253.95","       3203.95","       3240.00","       3240.55","       3227.94","     443672","          1432148161.70","      27424","     316748","         71.39"
"DRREDDY","EQ","16-Jan-2015","       3240.55","       3242.00","       3295.00","       3231.25","       3257.40","       3285.80","       3275.90","     422004","          1382443646.90","      33461","     301754","         71.51"
"DRREDDY","EQ","19-Jan-2015","       3285.80","       3280.00","       3330.00","       3269.70","       3328.90","       3323.90","       3312.49","     248669","           823714211.95","      17425","     154065","         61.96"
"DRREDDY","EQ","20-Jan-2015","       3323.90","       3342.00","       3342.00","       3292.35","       3300.00","       3306.20","       3306.30","     297710","           984317202.20","      17575","     218874","         73.52"
"DRREDDY","EQ","21-Jan-2015","       3306.20","       3277.50","       3348.90","       3252.00","       3332.00","       3335.85","       3302.56","     431156","          1423916847.40","      28912","     284675","         66.03"
"DRREDDY","EQ","22-Jan-2015","       3335.85","       3330.10","       3365.00","       3330.10","       3360.00","       3361.25","       3354.83","     245798","           824610342.35","      14618","     170534","         69.38"
"DRREDDY","EQ","23-Jan-2015","       3361.25","       3389.75","       3389.75","       3335.00","       3335.00","       3349.60","       3360.73","     441479","          1483691149.35","      44232","     343201","         77.74"
"DRREDDY","EQ","27-Jan-2015","       3349.60","       3324.85","       3324.85","       3195.35","       3201.00","       3212.40","       3224.47","     412304","          1329463217.95","      44691","     264759","         64.21"
"DRREDDY","EQ","28-Jan-2015","       3212.40","       3220.00","       3245.00","       3172.10","       3239.95","       3239.05","       3227.48","     249711","           805937243.60","      16939","     123499","         49.46"
"DRREDDY","EQ","29-Jan-2015","       3239.05","       3234.00","       3380.00","       3210.35","       3362.10","       3363.30","       3313.09","    1401638","          4643749019.95","      91149","     686840","         49.00"
"DRREDDY","EQ","30-Jan-2015","       3363.30","       3370.00","       3372.85","       3201.00","       3226.95","       3233.25","       3254.89","     632758","          2059556386.25","      38249","     392856","         62.09"
"DRREDDY","EQ","02-Feb-2015","       3233.25","       3179.75","       3184.00","       3135.10","       3137.00","       3139.10","       3153.57","     386253","          1218074976.25","      26914","     215945","         55.91"
"DRREDDY","EQ","03-Feb-2015","       3139.10","       3102.00","       3119.00","       3074.90","       3086.95","       3087.15","       3091.90","     522573","          1615742295.35","      33744","     376638","         72.07"
"DRREDDY","EQ","04-Feb-2015","       3087.15","       3105.00","       3126.25","       3085.00","       3098.90","       3096.90","       3109.51","     214845","           668063218.45","      18644","     121613","         56.60"
"DRREDDY","EQ","05-Feb-2015","       3096.90","       3088.00","       3095.00","       3061.20","       3074.80","       3072.05","       3072.98","     422142","          1297232613.90","      23079","     318709","         75.50"
"DRREDDY","EQ","06-Feb-2015","       3072.05","       3075.00","       3117.00","       3030.00","       3049.00","       3044.30","       3074.97","     244496","           751818353.55","      18194","     119031","         48.68"
"DRREDDY","EQ","09-Feb-2015","       3044.30","       3033.00","       3112.95","       3007.00","       3108.00","       3099.10","       3072.23","     352149","          1081883615.70","      26174","     222407","         63.16"
"DRREDDY","EQ","10-Feb-2015","       3099.10","       3111.05","       3145.50","       3075.00","       3134.00","       3130.50","       3119.27","     338985","          1057385744.75","      37019","     207890","         61.33"
"DRREDDY","EQ","11-Feb-2015","       3130.50","       3140.30","       3180.90","       3123.95","       3170.00","       3152.40","       3155.00","     232891","           734771255.85","      14205","     130887","         56.20"
"DRREDDY","EQ","12-Feb-2015","       3152.40","       3195.00","       3343.15","       3192.35","       3343.00","       3331.20","       3282.30","     457240","          1500798460.90","      25085","     292931","         64.07"
"DRREDDY","EQ","13-Feb-2015","       3331.20","       3360.00","       3369.00","       3321.00","       3338.90","       3343.95","       3342.68","     211055","           705489644.75","      17035","      88341","         41.86"
"DRREDDY","EQ","16-Feb-2015","       3343.95","       3352.00","       3402.80","       3338.15","       3349.60","       3351.25","       3374.34","     149937","           505938563.00","      10336","      70484","         47.01"
"DRREDDY","EQ","18-Feb-2015","       3351.25","       3317.00","       3376.00","       3312.10","       3350.00","       3354.25","       3341.97","     209696","           700797982.05","      17123","     123918","         59.09"
"DRREDDY","EQ","19-Feb-2015","       3354.25","       3347.05","       3396.75","       3312.70","       3387.00","       3382.90","       3365.13","     171684","           577739370.00","      11789","      71325","         41.54"
"DRREDDY","EQ","20-Feb-2015","       3382.90","       3398.00","       3424.95","       3371.00","       3390.00","       3403.90","       3406.94","     151478","           516077018.80","      10373","      50104","         33.08"
"DRREDDY","EQ","23-Feb-2015","       3403.90","       3402.20","       3424.00","       3362.60","       3375.00","       3389.80","       3392.99","     415998","          1411476617.25","      31969","     318550","         76.57"
"DRREDDY","EQ","24-Feb-2015","       3389.80","       3375.00","       3410.00","       3340.40","       3364.00","       3359.75","       3372.86","     216410","           729921020.55","      22285","     120948","         55.89"
"DRREDDY","EQ","25-Feb-2015","       3359.75","       3375.00","       3385.05","       3265.00","       3282.50","       3279.35","       3322.86","     405564","          1347633067.25","      22710","     250307","         61.72"
"DRREDDY","EQ","26-Feb-2015","       3279.35","       3253.00","       3283.00","       3227.00","       3248.00","       3252.20","       3255.61","     497009","          1618066841.60","      40908","     319630","         64.31"
"DRREDDY","EQ","27-Feb-2015","       3252.20","       3249.00","       3299.00","       3201.00","       3268.00","       3278.05","       3262.60","     433848","          1415472595.75","      40773","     315691","         72.77"
"DRREDDY","EQ","28-Feb-2015","       3278.05","       3284.60","       3371.35","       3260.10","       3370.00","       3349.05","       3316.75","     106206","           352258286.20","       7767","      33661","         31.69"
"DRREDDY","EQ","02-Mar-2015","       3349.05","       3363.00","       3419.90","       3332.10","       3382.20","       3386.65","       3390.49","     272219","           922955592.40","      19109","     174553","         64.12"
"DRREDDY","EQ","03-Mar-2015","       3386.65","       3409.00","       3482.80","       3363.15","       3395.05","       3407.90","       3434.86","     399929","          1373698565.75","      32278","     219434","         54.87"
"DRREDDY","EQ","04-Mar-2015","       3407.90","       3407.90","       3468.00","       3370.60","       3382.00","       3390.45","       3423.31","     290728","           995251595.85","      30421","     163725","         56.32"
"DRREDDY","EQ","05-Mar-2015","       3390.45","       3388.10","       3449.90","       3388.10","       3437.55","       3441.50","       3433.33","     280898","           964414137.35","      23884","     165605","         58.96"
"DRREDDY","EQ","09-Mar-2015","       3441.50","       3451.90","       3517.00","       3451.90","       3464.70","       3467.55","       3478.91","     234118","           814476531.10","      22568","     116030","         49.56"
"DRREDDY","EQ","10-Mar-2015","       3467.55","       3480.00","       3480.00","       3410.75","       3442.70","       3437.30","       3454.39","     222064","           767096391.55","      37339","     128260","         57.76"
"DRREDDY","EQ","11-Mar-2015","       3437.30","       3458.85","       3531.95","       3368.05","       3477.05","       3468.00","       3464.98","     309701","          1073107256.25","      26790","     150492","         48.59"
"DRREDDY","EQ","12-Mar-2015","       3468.00","       3470.00","       3505.00","       3415.20","       3429.25","       3432.80","       3440.82","     368268","          1267143960.10","      23364","     245464","         66.65"
"DRREDDY","EQ","13-Mar-2015","       3432.80","       3459.00","       3464.10","       3358.50","       3383.00","       3376.55","       3393.78","     194107","           658756623.95","      14992","     105940","         54.58"
"DRREDDY","EQ","16-Mar-2015","       3376.55","       3390.00","       3398.60","       3300.15","       3320.95","       3313.00","       3345.14","     217805","           728588078.70","      15755","     140744","         64.62"
"DRREDDY","EQ","17-Mar-2015","       3313.00","       3360.00","       3452.75","       3351.00","       3432.00","       3437.45","       3408.95","     354407","          1208155106.40","      27855","     201640","         56.90"
"DRREDDY","EQ","18-Mar-2015","       3437.45","       3444.90","       3453.95","       3400.00","       3429.90","       3427.05","       3426.74","     170461","           584125871.85","      15513","      82585","         48.45"
"DRREDDY","EQ","19-Mar-2015","       3427.05","       3470.00","       3480.00","       3411.05","       3427.05","       3424.70","       3446.67","     277953","           958011377.45","      32822","     177093","         63.71"
"DRREDDY","EQ","20-Mar-2015","       3424.70","       3438.20","       3465.00","       3371.50","       3435.00","       3426.60","       3426.98","     307930","          1055269835.50","      20552","     172705","         56.09"
"DRREDDY","EQ","23-Mar-2015","       3426.60","       3430.00","       3469.85","       3428.50","       3456.25","       3458.65","       3457.57","     189693","           655876283.65","      17115","     116869","         61.61"
"DRREDDY","EQ","24-Mar-2015","       3458.65","       3499.00","       3525.00","       3463.00","       3513.00","       3511.45","       3503.91","     522455","          1830636837.65","      14753","     383016","         73.31"
"DRREDDY","EQ","25-Mar-2015","       3511.45","       3525.00","       3575.00","       3504.00","       3504.05","       3510.60","       3526.17","     393983","          1389250949.85","      31644","     248489","         63.07"
"DRREDDY","EQ","26-Mar-2015","       3510.60","       3470.00","       3492.05","       3351.50","       3437.00","       3445.70","       3455.96","     537319","          1856951603.25","      45939","     376901","         70.14"
"DRREDDY","EQ","27-Mar-2015","       3445.70","       3434.90","       3434.90","       3360.20","       3414.00","       3415.40","       3391.19","     243912","           827151864.65","      20901","     134673","         55.21"
"DRREDDY","EQ","30-Mar-2015","       3415.40","       3457.80","       3457.80","       3373.00","       3431.60","       3425.30","       3420.17","     281925","           964231728.40","      14036","     205483","         72.89"
"DRREDDY","EQ","31-Mar-2015","       3425.30","       3454.00","       3515.00","       3454.00","       3490.00","       3488.75","       3491.34","     280091","           977893227.15","      20373","     176535","         63.03"
"DRREDDY","EQ","01-Apr-2015","       3488.75","       3541.00","       3566.80","       3501.70","       3550.00","       3533.65","       3536.88","     282785","          1000175425.90","      29786","     150753","         53.31"
"DRREDDY","EQ","06-Apr-2015","       3533.65","       3530.00","       3694.50","       3529.00","       3694.50","       3677.85","       3618.46","     436764","          1580412456.60","      27551","     239621","         54.86"
"DRREDDY","EQ","07-Apr-2015","       3677.85","       3668.00","       3704.95","       3645.20","       3675.00","       3684.85","       3674.99","     232946","           856074318.55","      20139","      87287","         37.47"
"DRREDDY","EQ","08-Apr-2015","       3684.85","       3675.00","       3775.30","       3662.15","       3742.00","       3755.45","       3730.15","     443971","          1656079431.00","      34140","     225303","         50.75"
"DRREDDY","EQ","09-Apr-2015","       3755.45","       3755.05","       3764.00","       3679.00","       3739.00","       3740.25","       3717.89","     309859","          1152022686.45","      28707","     161366","         52.08"
"DRREDDY","EQ","10-Apr-2015","       3740.25","       3746.00","       3807.80","       3706.35","       3781.25","       3797.40","       3759.19","     215427","           809831925.25","      21816","      83185","         38.61"
"DRREDDY","EQ","13-Apr-2015","       3797.40","       3780.00","       3807.70","       3731.50","       3775.95","       3795.35","       3774.74","     263460","           994492620.20","      21231","     129815","         49.27"
"DRREDDY","EQ","15-Apr-2015","       3795.35","       3780.00","       3800.00","       3731.65","       3747.35","       3753.60","       3775.70","     293648","          1108725555.50","      30311","     180869","         61.59"
"DRREDDY","EQ","16-Apr-2015","       3753.60","       3730.00","       3741.25","       3663.20","       3676.00","       3680.30","       3693.21","     233587","           862684757.30","      25938","     127779","         54.70"
"DRREDDY","EQ","17-Apr-2015","       3680.30","       3665.40","       3700.00","       3620.00","       3650.00","       3647.15","       3654.00","     258444","           944354093.40","      26622","     154777","         59.89"
"DRREDDY","EQ","20-Apr-2015","       3647.15","       3650.00","       3715.95","       3540.20","       3577.70","       3567.00","       3616.95","     302996","          1095920067.05","      27778","     159469","         52.63"
"DRREDDY","EQ","21-Apr-2015","       3567.00","       3575.90","       3614.00","       3452.00","       3462.00","       3462.00","       3490.45","     387220","          1351573179.80","      38390","     219214","         56.61"
"DRREDDY","EQ","22-Apr-2015","       3462.00","       3490.05","       3585.00","       3488.00","       3564.00","       3570.30","       3530.09","     339644","          1198973238.55","      38841","     160837","         47.35"
"DRREDDY","EQ","23-Apr-2015","       3570.30","       3579.20","       3595.00","       3509.00","       3528.30","       3528.80","       3535.07","     171687","           606925603.00","      15756","      76941","         44.81"
"DRREDDY","EQ","24-Apr-2015","       3528.80","       3510.50","       3570.90","       3470.35","       3491.70","       3484.15","       3499.04","     186232","           651632844.95","      17437","      95210","         51.12"
"DRREDDY","EQ","27-Apr-2015","       3484.15","       3505.00","       3514.85","       3355.10","       3382.00","       3385.60","       3397.78","     544699","          1850767261.80","      38092","     330637","         60.70"
"DRREDDY","EQ","28-Apr-2015","       3385.60","       3387.00","       3430.80","       3340.85","       3403.95","       3412.25","       3381.31","     276789","           935909429.20","      29251","     132447","         47.85"
"DRREDDY","EQ","29-Apr-2015","       3412.25","       3413.00","       3457.25","       3350.00","       3375.00","       3382.45","       3384.71","     233769","           791239398.25","      20274","      94027","         40.22"
"DRREDDY","EQ","30-Apr-2015","       3382.45","       3380.00","       3380.00","       3276.50","       3316.00","       3310.25","       3306.91","     801536","          2650604844.30","      46784","     571883","         71.35"
"DRREDDY","EQ","04-May-2015","       3310.25","       3330.00","       3405.00","       3316.00","       3397.30","       3395.05","       3379.60","     252822","           854437110.15","      23737","     117982","         46.67"
