"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","01-Jan-2016","       1014.60","       1009.80","       1018.90","       1008.20","       1013.60","       1015.35","       1015.52","    1238135","          1257352825.30","      30701","     529539","         42.77"
"RELIANCE","EQ","04-Jan-2016","       1015.35","       1005.00","       1013.80","        986.70","        993.20","        995.30","        998.91","    6896571","          6889070474.95","      66235","    4974602","         72.13"
"RELIANCE","EQ","05-Jan-2016","        995.30","       1000.30","       1010.00","        997.00","       1005.00","       1005.15","       1003.41","    3416459","          3428125271.00","      59935","    1987804","         58.18"
"RELIANCE","EQ","06-Jan-2016","       1005.15","       1007.60","       1038.40","       1000.40","       1029.10","       1032.20","       1028.15","    6116855","          6289073420.75","     160947","    2912662","         47.62"
"RELIANCE","EQ","07-Jan-2016","       1032.20","       1021.05","       1028.00","       1008.05","       1018.90","       1013.25","       1016.73","    4512219","          4587700424.70","     105075","    2474491","         54.84"
"RELIANCE","EQ","08-Jan-2016","       1013.25","       1020.00","       1032.90","       1016.70","       1027.40","       1025.75","       1026.11","    4871839","          4999056504.30","     176664","    2746938","         56.38"
"RELIANCE","EQ","11-Jan-2016","       1025.75","       1015.95","       1060.80","       1011.00","       1054.00","       1051.60","       1047.90","    6632671","          6950389024.85","     135818","    3486732","         52.57"
"RELIANCE","EQ","12-Jan-2016","       1051.60","       1055.00","       1065.40","       1041.10","       1044.40","       1045.45","       1053.10","    5342761","          5626465575.50","     143685","    3007937","         56.30"
"RELIANCE","EQ","13-Jan-2016","       1045.45","       1053.10","       1089.75","       1047.20","       1073.20","       1076.85","       1060.93","   16412811","         17412825595.70","     176074","    9071367","         55.27"
"RELIANCE","EQ","14-Jan-2016","       1076.85","       1063.85","       1081.00","       1053.05","       1060.45","       1061.65","       1067.41","    6359913","          6788622870.15","     137443","    3284265","         51.64"
"RELIANCE","EQ","15-Jan-2016","       1061.65","       1069.75","       1089.50","       1065.60","       1072.60","       1073.30","       1080.40","    6575725","          7104390948.10","     136461","    3749070","         57.01"
